Driver,EstimatedDegPerLapSeconds
ALO,-0.14296973290065026
ALB,-0.12496742141394754
COL,-0.029673890979713288
NOR,-0.02080618998183096
HAM,-0.02054185729469912
TSU,-0.015516456559659131
BEA,-0.015391104513807551
LAW,-0.010924385964911758
HUL,-0.010785119853470549
SAI,-0.004848313642826948
PIA,-0.003351132686081434
ANT,-0.000964299036321969
VER,0.0012278830178265626
LEC,0.001673205064843623
BOR,0.00483441833135047
HAD,0.0068072162409981395
OCO,0.010406324755540118
RUS,0.052444611220926196
STR,0.05622231524129058
GAS,
