Driver,Stint,Compound,LapsUsed,StartLap,EndLap,AvgLapTimeSeconds,MedianLapTimeSeconds,MinLapTimeSeconds,MaxLapTimeSeconds,StartTyreLife,EndTyreLife,EstimatedDegPerLapSeconds
STR,3.0,MEDIUM,11,66.0,76.0,76.01718181818181,76.161,74.877,77.596,3.0,13.0,0.235045454545456
COL,2.0,MEDIUM,11,15.0,25.0,77.55263636363637,77.626,75.435,79.296,9.0,19.0,0.12914545454545398
OCO,2.0,MEDIUM,10,18.0,27.0,77.2054,77.1215,75.774,78.5,6.0,15.0,0.08055757575757212
BOR,2.0,HARD,16,6.0,25.0,78.30925,78.223,75.721,80.937,5.0,24.0,0.07264791666666526
PIA,3.0,HARD,29,50.0,78.0,75.13382758620689,75.106,73.745,76.523,2.0,30.0,0.06529605911330132
LEC,3.0,MEDIUM,28,51.0,78.0,75.47071428571428,75.406,74.342,77.108,5.0,32.0,0.055861521620140346
LAW,3.0,HARD,36,42.0,77.0,76.46144444444445,76.61349999999999,75.321,79.159,3.0,38.0,0.04624658944658971
STR,2.0,HARD,44,19.0,63.0,78.5965909090909,78.6595,76.433,82.255,3.0,47.0,0.03985438722842348
HUL,2.0,HARD,29,14.0,43.0,78.57158620689655,78.575,76.106,80.602,2.0,31.0,0.03134608792255295
VER,2.0,MEDIUM,46,30.0,76.0,75.35258695652173,75.227,74.23,77.547,2.0,48.0,0.025407392964958808
