column,dtype,role,n_missing
year,int64,identifier_or_raw,0
round_number,int64,feature,0
race_name,object,identifier_or_raw,0
track_name,object,identifier_or_raw,0
session_type,object,identifier_or_raw,0
driver,object,identifier_or_raw,0
team,object,identifier_or_raw,0
lap_number,float64,feature,0
lap_time,object,excluded_leakage,352
lap_time_seconds,float64,identifier_or_raw,352
sector_1_time,float64,identifier_or_raw,515
sector_2_time,float64,identifier_or_raw,50
sector_3_time,float64,identifier_or_raw,53
compound,object,feature,411
tyre_life,float64,feature,434
stint,float64,feature,354
fresh_tyre,int64,feature,0
pit_in_time,object,excluded_leakage,25848
pit_out_time,object,excluded_leakage,25826
pit_in_lap,float64,excluded_leakage,25848
pit_out_lap,float64,excluded_leakage,25826
is_pit_lap,bool,feature,0
pit_stop_count,int64,identifier_or_raw,0
track_status,string,identifier_or_raw,0
safety_car_or_vsc_flag,int64,feature,0
position,float64,feature,30
source,object,excluded_leakage,0
source_file,object,excluded_leakage,0
created_at,object,excluded_leakage,0
total_laps,float64,feature,0
lap_percentage,float64,feature,0
current_stint_lap,int64,feature,0
laps_since_pit,int64,feature,0
pit_stop_count_so_far,int64,feature,0
has_pitted,int64,feature,0
laps_since_last_pit,int64,feature,0
is_safety_car,int64,feature,0
is_vsc,int64,feature,0
is_green_flag,int64,feature,0
position_change,float64,feature,0
will_pit_next_3_laps,int64,target,0
feature_built_at,object,identifier_or_raw,0
